Location,In Scope,Type,Size,Date,Level,Title,Description,Keywords,H1TagTexts,Word Count,LinksIn,LinksOut,Images,Audios,Videos,Documents,Notes
http://snapcats.org/marmalade.htm,TRUE,text/html,16778,2017-02-18T23:53:35,2,SNAP Cats - Marmalade,,,,144,1,33,21,0,0,0, 
http://snapcats.org/jingles.htm,TRUE,text/html,13066,2017-02-18T23:53:28,2,SNAP Cats - Jingles,,,,122,1,33,21,0,0,0, 
http://snapcats.org/dinah.htm,TRUE,text/html,14211,2017-02-18T23:53:22,2,SNAP Cats - Dinah,,,,110,1,33,21,0,0,0, 
http://snapcats.org/orion.htm,TRUE,text/html,22653,2017-02-18T23:53:44,2,SNAP Cats - Orion,,,,216,1,33,22,0,0,0, 
http://snapcats.org/whiteshoesdd.htm,TRUE,text/html,42162,2017-02-18T23:54:03,2,SNAP Cats - White Shoes,,,,432,1,33,31,0,0,0, 
http://snapcats.org/dj.htm,TRUE,text/html,11275,2017-02-18T23:53:22,2,SNAP Cats - D.J.,,,,178,1,35,31,0,0,0, 
http://snapcats.org/docs/VolunteerManual.pdf,TRUE,application/pdf,329162,2017-02-19T00:30:27,2,here,,,,,1,,,,,, 
http://snapcats.org/docs/foster_care_program.doc,TRUE,application/msword,123392,2017-02-19T00:30:17,2,here,,,,,2,,,,,, 
http://snapcats.org/brewster.htm,TRUE,text/html,9600,2017-02-18T23:53:18,3,SNAP Cats - Brewster,,,,123,7,42,32,0,0,1, 
http://snapcats.org/pancake.htm,TRUE,text/html,9008,2017-02-18T23:53:45,3,SNAP Cats - Pancake,,,,108,9,39,23,0,0,1, 
http://snapcats.org/cupcake.htm,TRUE,text/html,10760,2017-02-18T23:53:20,3,SNAP Cats - Cupcake,,,,125,7,42,32,0,0,1, 
http://snapcats.org/bw.htm,TRUE,text/html,10295,2017-02-18T23:53:19,3,SNAP Cats - BW,,,,122,7,42,32,0,0,1, 
http://snapcats.org/larry.htm,TRUE,text/html,7777,2017-10-13T16:33:02,3,SNAP Cats - Our Special Cats,,,,101,7,36,24,0,0,1, 
http://snapcats.org/hubble.htm,TRUE,text/html,7767,2017-10-13T16:36:38,3,SNAP Cats - Our Special Cats,,,,102,7,36,24,0,0,1, 
http://snapcats.org/teddy.htm,TRUE,text/html,10825,2017-02-18T23:53:55,3,SNAP Cats - Teddy,,,,141,7,44,32,0,0,1, 
http://snapcats.org/docs/feline_aggression.doc,TRUE,application/msword,126464,2017-02-19T00:30:15,3,,,,,,2,,,,,, 
http://snapcats.org/docs/ataxia.doc,TRUE,application/msword,110080,2017-02-19T00:30:13,3,,,,,,1,,,,,, 
http://snapcats.org/docs/new_kitty.doc,TRUE,application/msword,103936,2017-02-19T00:30:19,3,,,,,,1,,,,,, 
http://snapcats.org/docs/bottle_feeding_kittens.doc,TRUE,application/msword,312832,2017-02-19T00:30:13,3,,,,,,1,,,,,, 
http://snapcats.org/docs/calicivirus.doc,TRUE,application/msword,106496,2017-02-19T00:30:14,3,,,,,,1,,,,,, 
http://snapcats.org/docs/feline_diabetes.doc,TRUE,application/msword,118784,2017-02-19T00:30:15,3,,,,,,2,,,,,, 
http://snapcats.org/docs/cleft_soft_palate.doc,TRUE,application/msword,112640,2017-02-19T00:30:14,3,,,,,,1,,,,,, 
http://snapcats.org/docs/cerebellar_hypoplasia.doc,TRUE,application/msword,123392,2017-02-19T00:30:14,3,,,,,,1,,,,,, 
http://snapcats.org/docs/cats_body_language.doc,TRUE,application/msword,135680,2017-02-19T00:30:14,3,,,,,,1,,,,,, 
http://snapcats.org/docs/declawing.doc,TRUE,application/msword,99328,2017-02-19T00:30:14,3,,,,,,1,,,,,, 
http://snapcats.org/docs/destructive_scratching.doc,TRUE,application/msword,105472,2017-02-19T00:30:15,3,,,,,,1,,,,,, 
http://snapcats.org/docs/diet_tips.doc,TRUE,application/msword,136704,2017-02-19T00:30:15,3,,,,,,1,,,,,, 
http://snapcats.org/abyssinian.htm,TRUE,text/html,8361,2017-02-18T23:53:16,3,SNAP Cats - Abyssinian Cat Breed,,,,138,1,34,22,0,0,1, 
http://snapcats.org/americanbobtail.htm,TRUE,text/html,8494,2017-02-18T23:53:16,3,SNAP Cats - American Bobtail Cat Breed,,,,144,1,34,22,0,0,1, 
http://snapcats.org/americancurl.htm,TRUE,text/html,8421,2017-02-18T23:53:16,3,SNAP Cats - American Curl Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/americanshorthair.htm,TRUE,text/html,8443,2017-02-18T23:53:16,3,SNAP Cats - American Shorthair Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/americanwirehair.htm,TRUE,text/html,8455,2017-02-18T23:53:16,3,SNAP Cats - American Wirehair Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/balinese.htm,TRUE,text/html,8395,2017-02-18T23:53:16,3,SNAP Cats - Balinese Cat Breed,,,,141,2,34,22,0,0,1, 
http://snapcats.org/bengal.htm,TRUE,text/html,8418,2017-02-18T23:53:17,3,SNAP Cats - Bengal Cat Breed,,,,144,2,34,22,0,0,1, 
http://snapcats.org/birman.htm,TRUE,text/html,8374,2017-02-18T23:53:17,3,SNAP Cats - Birman Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/bombay.htm,TRUE,text/html,8444,2017-02-18T23:53:17,3,SNAP Cats - Bombay Cat Breed,,,,144,1,34,22,0,0,1, 
http://snapcats.org/britishshorthair.htm,TRUE,text/html,8392,2017-02-18T23:53:18,3,SNAP Cats - British Shorthair Cat Breed,,,,138,1,34,22,0,0,1, 
http://snapcats.org/burmese.htm,TRUE,text/html,8391,2017-02-18T23:53:19,3,SNAP Cats - Burmese Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/burmilla.htm,TRUE,text/html,8335,2017-02-18T23:53:19,3,SNAP Cats - Burmilla Cat Breed,,,,138,1,34,22,0,0,1, 
http://snapcats.org/chartreux.htm,TRUE,text/html,8422,2017-02-18T23:53:19,3,SNAP Cats - Chartreux Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/chineselihua.htm,TRUE,text/html,8345,2017-02-18T23:53:19,3,SNAP Cats - Chinese Li Hua Cat Breed,,,,138,1,34,22,0,0,1, 
http://snapcats.org/colorpointshorthair.htm,TRUE,text/html,8419,2017-02-18T23:53:20,3,SNAP Cats - Colorpoint Shorthair Cat Breed,,,,141,2,34,22,0,0,1, 
http://snapcats.org/cornishrex.htm,TRUE,text/html,8452,2017-02-18T23:53:20,3,SNAP Cats - Cornish Rex Cat Breed,,,,144,2,34,22,0,0,1, 
http://snapcats.org/cymric.htm,TRUE,text/html,8390,2017-02-18T23:53:21,3,SNAP Cats - Cymric Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/devonrex.htm,TRUE,text/html,8451,2017-02-18T23:53:21,3,SNAP Cats - Devon Rex Cat Breed,,,,144,2,34,22,0,0,1, 
http://snapcats.org/egyptianmau.htm,TRUE,text/html,8353,2017-02-18T23:53:23,3,SNAP Cats - Egyptian Mau Cat Breed,,,,138,1,34,22,0,0,1, 
http://snapcats.org/europeanburmese.htm,TRUE,text/html,8492,2017-02-18T23:53:23,3,SNAP Cats - European Burmese Cat Breed,,,,144,1,34,22,0,0,1, 
http://snapcats.org/exotic.htm,TRUE,text/html,8369,2017-02-18T23:53:23,3,SNAP Cats - Exotic Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/havanabrown.htm,TRUE,text/html,8384,2017-02-18T23:53:25,3,SNAP Cats - Havana Brown Cat Breed,,,,137,1,34,22,0,0,1, 
